Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,lophanthae,8.28,NA,418.55,NA,NA,7.89,7.96,NA,NA,NA,NA,NA,8.03,NA,NA,132.88,262.4,NA,NA,NA,NA,NA,100.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Stathas, G.J., Eliopoulos, P.A., Kentodimas, D.C. and Siamos, D.T.",2002,"Adult morphology and life cycle under constant temperatures of the predator Rhyzobius lophanthae Blaisdell (Col., Coccinellidae).",Journal of Pest Science,75,105-109,Greece,21.824312,39.074208,2,70
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,lophanthae,8.22,NA,444.16,NA,NA,8.69,7.96,NA,NA,NA,NA,NA,8.25,NA,NA,113.99,240.39,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Stathas, G.J.",2000,The effect of temperature on the development of the predator Rhyzobius lophanthae and its phenology in Greece.,Biological Control,45,439-451,"Leonidion, Peloponnes,Greece",22.63346,37.16728,1,69
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,lophanthae,13.46,NA,242.01,NA,NA,13.62,NA,NA,NA,NA,NA,NA,12.8,NA,NA,186.27,NA,NA,NA,NA,NA,NA,56.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Cividanes, F.J. and Gutierrez, A.P.",1996,Modeling the age-specific per capita growth and reproduction of Rhyzobious lophanthae (Blaisd) (Coleoptera: Coccinellidae).,Entomophaga,41,257-266,"Riverside, California",-117.384,33.9448,2,68
Rhyzopertha dominica,Coleoptera,Bostrichidae,Rhyzopertha,dominica,15.1,NA,489.9,NA,NA,14,15.4,NA,NA,NA,NA,NA,15,NA,NA,119.6,302.4,NA,NA,NA,NA,NA,69.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Faroni L.R.A., Garcia-Mari F.",1992,Influencia de la temperatury sobre los parametros biologicos de Rhyzopertha dominica (F.).,Boletin de Sanidad Vegetal Plagas,18,455-467,"Valencia, Spain",-0.37629,39.46991,3,6
Saissetia coffeae,Homoptera,Coccidae,Saissetia,coffeae,6.05,NA,848.35,NA,NA,7.11,NA,11.93,4.11,NA,NA,NA,NA,NA,NA,270,NA,43,555,NA,NA,NA,NA,NA,NA,291.67,556.68,69.19,487.49,NA,NA,NA,-,NA,NA,1,0,0,0,"Li, C., T. Su, et al.",2002,"Effects of temperature on development of the hemispherical scale, Saissetia coffeae (Walker) (Homoptera: Coccidae), and its occurrence on cycad (Cycas taiwanian Carr.)",Formosan Entomologist,22,65-74,"Taizhong, Taiwan Province, China",120.67,24.12,3,560
Scaeva pyrastri,Diptera,Syrphidae,Scaeva,pyrastri,5.4,NA,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"B„nsch, R.",1964,"Vergleichende Untersuchungen zur Biologie und zum Beutefangverhalten aphidivorer Coccinelliden, Chrysopiden und Syrphiden.",Zool. J. Syst.,91,271-340,"Braunschweig, Germany",10.52677,52.26887,3,290
Scatophaga steroraria,Diptera,Scathophagidae,Scatophaga,steroraria,1.69,NA,451.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Blanckenhorn, W.U. and Henseler, C.",2005,Temperature-dependent ovariole and testis maturation in the yellow dung fly.,Entomologia Experimentalis et Applicata,116,259-165,"Fehraltorf, Switzerland",8.751504,47.38716,1,283
Scatophaga steroraria,Diptera,Scathophagidae,Scatophaga,steroraria,2.35,NA,402.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Blanckenhorn, W.U. and Henseler, C.",2005,Temperature-dependent ovariole and testis maturation in the yellow dung fly.,Entomologia Experimentalis et Applicata,116,259-165,"Fehraltorf, Switzerland",8.751504,47.38716,1,283
Schizaphis graminum,Homoptera,Aphididae,Schizaphis,graminum,5.86,NA,93.19,NA,NA,NA,5.86,5.42,5.95,5.86,6.31,NA,NA,7.52,NA,NA,93.19,25.63,20.85,21.52,23.04,NA,NA,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Walgenbach, D. D., N. C. Elliott, and Kieckhefer, R.W.",1988,Constant and fluctuating temperature effects on developmental rates and life table statistics of the green bug (Homoptera: Aphididae),Journal of Economic Entomology,81,501-507,"Brookings, South Dakota, USA",-96.7983877,44.3113573,3,532
Scirpophaga incertulas,Lepidoptera,Pyralidae,Scirpophaga,incertulas,11.81,NA,516,NA,NA,12.52,9.88,NA,NA,NA,NA,NA,8.17,NA,NA,61.37,387.1,NA,NA,NA,NA,NA,108.12,NA,NA,91.3,329.1,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Rahman, M. T. and M. Khalequzzaman",2004,Temperature requirements for the development and survival of rice stemborers in laboratory conditions.,Entomologia Sinica,11,47-60,"Bangledesh, India",88.94451,26.54981,3,957
Scirpophaga innotata,Lepidoptera,Pyralidae,Scirpophaga,innotata,10.82,NA,594.6,NA,NA,11.27,8.72,NA,NA,NA,NA,NA,5.92,NA,NA,77.83,434.15,NA,NA,NA,NA,NA,143.36,NA,NA,108.4,373.3,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Rahman, M. T. and M. Khalequzzaman",2004,Temperature requirements for the development and survival of rice stemborers in laboratory conditions.,Entomologia Sinica,11,47-60,"Bangledesh, India",88.94451,26.54981,3,958
Scirtothrips dorsalis,Thysanoptera,Thripidae,Scirtothrips,dorsalis,8.24,NA,309.52,NA,NA,9.26,7.35,NA,NA,NA,NA,NA,NA,NA,NA,121.64,189.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Shibao, M.",1996,"Effects of temperature on development of the chillie thrips, Scirtothrips dorsalis Hood (Thysanoptera: Thripidae), on grape",Applied Entomology and Zoology,31,81-86,"Osaka, Japan",135.510913,34.69001745,3,1056
Scirtothrips dorsalis,Thysanoptera,Thripidae,Scirtothrips,dorsalis,8.3,NA,313,NA,NA,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,176.4,136.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Tatara, A.",1994,"Effect of temperature and host plant on the development, fertility and longevity of Scirtothrips dorsalis Hood (Thysanoptera: Thripidae)",Applied Entomology and Zoology,29,31-37,"Shimizu, Shizuoka, Japan",138.4895275,35.0158879,2,1057
Scirtothrips perseae,Thysanoptera,Thripidae,Scirtothrips,perseae,5.77,NA,384.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hoddle, M.S.",2002,Developmental and reproductive biology of Scirtothrips perseae (Thysanoptera: Thripidae): a new avocado pest in California.,Bulletin of Entomological Research,92,279-285,"Fallbrook, CA, USA",-117.2511466,33.3764196,2,1058
Scirtothrips perseae,Thysanoptera,Thripidae,Scirtothrips,perseae,6.24,NA,373.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hoddle, M.S.",2002,Developmental and reproductive biology of Scirtothrips perseae (Thysanoptera: Thripidae): a new avocado pest in California.,Bulletin of Entomological Research,92,279-285,"Fallbrook, CA, USA",-117.2511466,33.3764196,2,1058
Sclerodermus guani,Hymenoptera,Bethylidae,Sclerodermus,guani,13.7,NA,320.07,366.4,NA,14.64,12.02,NA,NA,NA,NA,NA,14.63,14.97,NA,48.81,78.43,NA,NA,NA,NA,NA,186.58,NA,NA,51,68.7,NA,NA,NA,NA,NA,#,#,NA,0,0,1,1,"Tian, S., Z. Xu, et al.",2003,Effects of different temperatures on the development of Scleroderma guani reared with Tenebrio molitor,Entomological Knowledge,40,356-359,"Beijing, China",116.28,40.03,3,613
Sclerophaedon orbicularis,Coleoptera,Chrysomelidae,Sclerophaedon,orbicularis,3.7,NA,493.6,NA,NA,3.3,4,NA,NA,NA,NA,NA,3.5,NA,NA,120.2,252.9,NA,NA,NA,NA,NA,121.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Fischer R.,1985,"Okologische Untersuchungen an Sclerophaedon orbicularis (Suffr.) (Coleoptera, Chrysomelidae).",Dtsch.Entomol.Z.,32,143-163,"Muhlhausen, Germany",10.45153,51.16569,2,134
Scolothrips takahashii,Thysanoptera,Thripidae,Scolothrips,takahashii,11.23,NA,187.14,NA,NA,10.74,NA,NA,NA,NA,NA,NA,11.21,NA,NA,102.38,NA,NA,NA,NA,NA,NA,22.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Gotoh, T., Yamaguchi, K., Fukazawa, M. and Mori, K.",2004,"Effect of temperature on life history traits of the predatory thrips, Scolothrips takahashii Priesner (Thysanoptera: Thripidae).",Appl. Entomol. Zool.,39(3),511-519,"Ami, Ibaraki Prefecture, Japan",140.21479,36.0308,2,1059
Scolothrips takahashii,Thysanoptera,Thripidae,Scolothrips,takahashii,11.38,NA,188.08,NA,NA,10.8,NA,NA,NA,NA,NA,NA,12.08,NA,NA,101.14,NA,NA,NA,NA,NA,NA,22.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Gotoh, T., Yamaguchi, K., Fukazawa, M. and Mori, K.",2004,"Effect of temperature on life history traits of the predatory thrips, Scolothrips takahashii Priesner (Thysanoptera: Thripidae).",Appl. Entomol. Zool.,39(3),511-519,"Ami, Ibaraki Prefecture, Japan",140.21479,36.0308,2,1059
Scutellista cyanea,Hymenoptera,Pteromalidae,Scutellista,cyanea,15.7,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Basova, T. V. and M. A. Kravchenko",1984,Biological control of soft scales.,Zashchita Rastenii,10,40-41,France,2.213749,46.227638,2,760
Scymnus frontalis,Coleoptera,Coccinellidae,Scymnus,frontalis,11.2,NA,324,NA,NA,11.3,11.2,NA,NA,NA,NA,NA,11.2,NA,NA,72,157.7,NA,NA,NA,NA,NA,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Naranjo S.E., Gibson R.L., Walgenbach D.D.",1990,"Development, survival, and reproduction of Scymnus frontalis (Coleoptera: Coccinellidae), on imported predator of Russian wheat aphid, at four fluctuating temperatures.",Annals of the Entomological Society of America,83(3),527-531,"Paris, France",2.348922,48.84793,1,71
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,hoffmani,9.2,NA,269.2,NA,NA,2.6,7.8,NA,NA,NA,NA,NA,12.7,NA,NA,125.7,121.6,NA,NA,NA,NA,NA,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Kawauchi S.,1983,"The threshold temperature and thermal constant for development from the egg to the adult form of Coccinella septempunctata brucki, Propylea japonica and Scymnus (Pullus) hoffmanni (Coleoptera, Coccinellidae",Kurume Univ.J.,32,45-51,"Fukuoka, Japan",130.4183,33.60658,2,72
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,hoffmani,10.6,NA,197,NA,NA,13.6,10.1,NA,NA,NA,NA,NA,13.4,NA,NA,38.1,89.2,NA,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Zhao D.X., Wang Z.W.",1987,"Influence of temperature on the development of the coccinellid beetle, Scymnus hoffmani Weise.",Acta Entomologica Sinica,30,47-53,"Shanghai, China",121.52,31.11,2,73
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,hoffmani,11.3,NA,181.8,NA,NA,12,10.2,NA,NA,NA,NA,NA,12.4,NA,NA,46.3,88.4,NA,NA,NA,NA,NA,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Zhao D.X., Wang Z.W.",1987,"Influence of temperature on the development of the coccinellid beetle, Scymnus hoffmani Weise.",Acta Entomologica Sinica,30,47-53,"Shanghai, China",121.52,31.11,2,73
Scymnus levaillanti,Coleoptera,Coccinellidae,Scymnus,levaillanti,10.64,NA,277.35,NA,NA,11.15,11.02,NA,NA,NA,NA,NA,10.14,NA,NA,69.33,108.19,NA,NA,NA,NA,NA,94.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Uygun, N. and Atlihan, R.",2000,The effect of temperature on development and fecundity of Scymnus levaillanti.,Biocontrol,45,453-462,"Adana, Turkey",35.45793,37.20002,2,74
Sepedon fuscipennis,Diptera,Sciomyzidae,Sepedon,fuscipennis,9.8,NA,308.7,NA,NA,8.8,7.5,NA,NA,NA,NA,NA,9.2,NA,NA,53.9,189.7,NA,NA,NA,NA,NA,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Barnes, J.K.",1976,"Effect of temperature on development, survival, oviposition, and diapause in laboratory populations of Sepedon fuscipennis (Diptera: Sciomyzidae).",Environmental Entomology,5(6),1089-1098,"Dryden, New York",-74.0059,40.71278,1,286
Sesamia calamistis,Lepidoptera,Noctuidae,Sesamia,calamistis,10.55,NA,868.17,NA,NA,9.7,10.7,NA,NA,NA,NA,NA,11.3,NA,NA,122,557,NA,NA,NA,NA,NA,171,NA,NA,113.23,565.39,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Shanower, T. G., F. Schulthess, et al.",1993,Development and fecundity of Sesamia calamistis (Lepidoptera: Noctuidae) and Eldana saccharina (Lepidoptera: Pyralidae),Bulletin of Entomological Research,83,237-243,"Cotonou, Benin",2.3912362,6.3702928,3,880
Sesamia inferens,Lepidoptera,Noctuidae,Sesamia,inferens,9.7,NA,755.2,NA,NA,8.79,7.16,NA,NA,NA,NA,NA,7.79,NA,NA,131.31,577.12,NA,NA,NA,NA,NA,129.52,NA,NA,124.8,488.3,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Rahman, M. T. and M. Khalequzzaman",2004,Temperature requirements for the development and survival of rice stemborers in laboratory conditions.,Entomologia Sinica,11,47-60,"Bangledesh, India",88.94451,26.54981,3,882
Sesamia inferens,Lepidoptera,Noctuidae,Sesamia,inferens,10.1,NA,409.2,NA,NA,13.5,NA,NA,NA,NA,NA,NA,3.1,NA,NA,175.8,NA,NA,NA,NA,NA,NA,265.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"David, H., Easwaramoorthy, S., Nandagopal, V., Kurup, N.K., Shanmugasundaram, M. and Santhalakshmi, G.",1981,"Influence of different temperatures on the tachinid parasite,. Sturmiopsis inferens (Dipt.).",Entomophaga,26,333-338,"Coimbatore, Tamil Nadu, India",76.95583,11.01684,1,881
Sesamia inferens,Lepidoptera,Noctuidae,Sesamia,inferens,10.7,NA,344.3,NA,NA,14.1,NA,NA,NA,NA,NA,NA,4.6,NA,NA,167.5,NA,NA,NA,NA,NA,NA,250.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"David, H., Easwaramoorthy, S., Nandagopal, V., Kurup, N.K., Shanmugasundaram, M. and Santhalakshmi, G.",1981,"Influence of different temperatures on the tachinid parasite,. Sturmiopsis inferens (Dipt.).",Entomophaga,26,333-338,"Coimbatore, Tamil Nadu, India",76.95583,11.01684,1,881
Sesamia nonagrioides,Lepidoptera,Noctuidae,Sesamia,nonagrioides,7.71,NA,954.19,NA,larvae,10.57,8.89,NA,NA,NA,NA,NA,10.75,NA,NA,114.94,555.56,NA,NA,NA,NA,NA,169.49,NA,NA,147.43,592.16,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Fantinou, A. A., D. C. Perdikis, et al.",2003,Development of immature stages of Sesamia nonagrioides (Lepidoptera : Noctuidae) under alternating and constant temperatures.,Environmental Entomology,32,1337-1342,"Kopais, Greece",23.05002,38.44971,2,883
Sesamia nonagrioides,Lepidoptera,Noctuidae,Sesamia,nonagrioides,7.29,NA,999.26,NA,NA,8.39,7.38,NA,NA,NA,NA,NA,7.62,NA,NA,111.63,662.81,NA,NA,NA,NA,NA,209.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Lopez, C., Sans, A., Asin, L. and Eizaguirra, M.",2001,Phenological model for Sesamia nonagrioides (Lepidoptera: Noctuidae),Environmental Entomology,30(1),23-30,"Lleida, Spain",0.620964,41.6159,2,884
Silobion avenae,Homoptera,Aphididae,Silobion,avenae,2.2,NA,171.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Sengonca S., Hoffmann A., Kleinhenz B.",1994,"Laboruntersuchungen zur Entwicklung, Lebensdauer und Fruchtbarkeit der Getreideblattlausarten Silobion avenae (F.) und Rhopalosiphum padi (L.) (Hem., Aphididae) bei verschiedenen tieferen Temperaturen.",Journal of Applied Entomology,117,224-233,"Bonn, Germany",7.0982068,50.73743,3,536
Silobion avenae,Homoptera,Aphididae,Silobion,avenae,3,NA,150.1,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,40.1,34,39,43.5,NA,-,#,NA,0,0,0,0,"Williams, C. T. and S. D. Wratten",1987,"The winter development, reproduction and lifespan of viviparae of Sitobion avenae (F.) (Hemiptera: Aphididae) on wheat in England",Bulletin of Entomological Research,77,19-34,"West Hampshire, United Kingdom",-1.53847,51.12471,2,537
Silobion avenae,Homoptera,Aphididae,Silobion,avenae,3,NA,163.6,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,37.7,32.1,38.5,58.6,NA,-,#,NA,0,0,0,0,"Williams, C. T. and S. D. Wratten",1987,"The winter development, reproduction and lifespan of viviparae of Sitobion avenae (F.) (Hemiptera: Aphididae) on wheat in England",Bulletin of Entomological Research,77,19-34,"West Hampshire, United Kingdom",-1.53847,51.12471,2,537
Simyra henrici,Lepidoptera,Noctuidae,Simyra,henrici,10.1,NA,791.7,NA,NA,11.61,9.6,NA,NA,NA,NA,NA,10.3,NA,NA,62.89,548.6,NA,NA,NA,NA,NA,192.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Decker, G.C. and Maddox, J.V.",1971,Effect of temperature on rate of development and survival of Simyra henrici.,Journal of Economic Entomology,64,94-98,"Urbana, Illinois",-88.2072697,40.1105875,4,885
Sipha flava,Homoptera,Aphididae,Sipha,flava,4.23,24,172.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"de Oliveira, S.A., Souza, B., Auad, A.M., da Silva, D.M., Souza, L.S. and Carvalho, C.A.",2009,Development and reproduction of Sipha flava (Forbes) (Hemiptera: Aphididae) at different temperatures.,Neotrop. Entomol.,38,311?316 (in French).,"Juiz de Fora - MG, Brazil",-43.3433999,-21.7624237,2,538
Sitobion avenae,Homoptera,Aphididae,Sitobion,avenae,-8.27,NA,239.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Asin, L. and Pons, X.",2001,Effect of high temperature on the growth and reproduction of corn aphids (Homoptera: Aphididae) and implications for their population dynamics on the northeastern Iberian Peninsula.,Environmental Entomology,30(6),1127-1134,"Lleida,Spain",0.6200146,41.6175899,2,539
Sitobion avenae,Homoptera,Aphididae,Sitobion,avenae,4.98,24,119.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hu, Z., Zhao, H., Hu, X. and Li, D.",2007,"Effect of bacterial symbionts on growth, development and fecundity of Sitobion avenae (F.) (Homoptera: Aphididae).",J. Northwest A & F Univ.(Nat. Sci. Ed.),35 (6),163?166 (in Chinese).,"Xianyang, China",108.07,34.26,2,540
Sitophilus oryzae,Coleoptera,Curculionidae,Sitophilus,oryzae,11.2,NA,434.3,NA,NA,6.6,11.7,NA,NA,NA,NA,NA,11.1,NA,NA,112.8,279,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Ryoo M.L., Cho K.L.",1988,A model for the temperature-dependent developmental rate of Sitophilus oryzae L. (Coleoptera: Curculionidae) on rice.,Journal of Stored Products Research,24,79 - 82,"Seoul, Korea",127.0277,37.5907,3,96
Sitophilus oryzae,Coleoptera,Curculionidae,Sitophilus,oryzae,15,NA,715.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Ryoo, M. I., K. J. Cho, et al.",1988,"Life table statistics of the rice weevil, Sitophilus oryzae (L.) (Coleoptera: Curculionidae) on the degree-day scale",Korean Journal of Applied Entomology,27,14-20,"Seoul, Korea",127.0277,37.5907,2,97
Sitophilus zeamais,Coleoptera,Curculionidae,Sitophilus,zeamais,13.2,NA,396.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Thorne E.J.,1994,Life history of immature maize weewils (Coleoptera: Curculionidae) on corn stored at constant temperatures and relative humidities in the laboratory.,Environmental Entomology,23,1459 - 1471,South Carolina,-80.8401,33.07235,2,98
Sitophilus zeamais,Coleoptera,Curculionidae,Sitophilus,zeamais,13.3,NA,471.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Thorne E.J.,1994,Life history of immature maize weewils (Coleoptera: Curculionidae) on corn stored at constant temperatures and relative humidities in the laboratory.,Environmental Entomology,23,1459 - 1471,South Carolina,-80.8401,33.07235,2,98
Solenopsis invicta,Hymenoptera,Formicidae,Solenopsis,invicta,18.3,NA,347.2,NA,NA,16.7,18.3,NA,NA,NA,NA,NA,17.8,NA,NA,91.3,175.1,NA,NA,NA,NA,NA,101.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Porter S.D.,1988,"Impact of temperature on colony growth and developmental rates of the ant, Solenopsis invicta. J",Insect Physiol.,34,1127-1133,"Tallahassee, Florida, USA",-84.2807329,30.4382559,2,723
Sophrorhinus gbanjaensis,Coleoptera,Curculionidae,Sophrorhinus,gbanjaensis,10.7,NA,692.4,NA,NA,17.6,NA,NA,NA,NA,NA,NA,14.9,NA,NA,58.3,NA,NA,NA,NA,NA,NA,97.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Daramola A.M.,1978,"The biology and ecology of the kola weevil, Sophrorhinus gbanjaensis D. and T. (Coleoptera: Curculionidae).",J.Nat.Hist.,12,661-680,"Gombe, Nigeria",10.98898,10.13339,2,99
Spalangia endius,Hymenoptera,Pteromalidae,Spalangia,endius,14.4,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Ables J.R., Shepard M., Holman J.R.",1976,Development of the Parasitoids Spalangia endius and Muscidifurax raptor in Relation to Constant and Variable Temperature: Simulation and Validation.,Environmental Entomology,5(2),329-333,"Clemson, South Carolina",-82.8373654,34.6834382,3,761
Spathius pallidus,Hymenoptera,Braconidae,Spathius,pallidus,13.1,NA,191.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Jones J.M., Stephen F.M.",1994,Effect of temperature on development of hymenopterous parasitoids of Dendroctonus frontalis (Coleoptera: Scolytidae).,Environmental Entomology,23,457 - 463,"Sabine National Forest, Hemphill, Texas, USA",-93.7700272,31.4438955,2,682
Spathius pallidus,Hymenoptera,Braconidae,Spathius,pallidus,13.1,NA,206.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Jones J.M., Stephen F.M.",1994,Effect of temperature on development of hymenopterous parasitoids of Dendroctonus frontalis (Coleoptera: Scolytidae).,Environmental Entomology,23,457 - 463,"Sabine National Forest, Hemphill, Texas, USA",-93.7700272,31.4438955,2,682
Spodoptera cosmioides,Lepidoptera,Noctuidae,Spodoptera,cosmioides,11.3,NA,525.11,NA,NA,9.34,11.65,NA,NA,NA,NA,9.65,11.08,NA,NA,73,254.61,NA,NA,NA,NA,33.42,177.55,NA,NA,53,296,267,NA,NA,NA,29,#,NA,NA,0,0,1,0,"Bavaresco, A., M. S. Garcia, et al.",2002,Biology and thermal requirements of Spodoptera cosmioides (Walk.) (Lepidoptera: Noctuidae),Neotropical Entomology,31,49-54,"Pelotas, RS, Brazil",-52.3375886,-31.7653989,3,886
Spodoptera eridania,Lepidoptera,Noctuidae,Spodoptera,eridania,10.78,NA,639.99,NA,NA,10.97,9.87,NA,NA,NA,NA,NA,12.37,NA,NA,56.92,444.3,NA,NA,NA,NA,NA,139.28,NA,NA,59,412,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Foerster, L. A. and A. L. M. Dionizio",1989,"Temperature requirements for the development of Spodoptera eridania (Cramer, 1782) (Lepidoptera: Noctuidae) on Mimosa scabrella Bentham (Leguminosae).",Anais da Sociedade Entomol¢gica do Brasil,18,145-154,"Ponta Grossa, Brazil",-50.1583223,-25.0994246,3,887
