Species name,Family,Order,Life stage,Metric,LT50,LT100,TimeLT100,TimeLT50,Latitude,Reference
Drosophila immigrans,Drosophilidae,Diptera,Larvae,LLT,NA,1.5,11520,NA,43,-67
Drosophila immigrans,Drosophilidae,Diptera,Adults,LLT,-2,-2,240,180,-34,-115
Drosophila kanekoi,Drosophilidae,Diptera,Adults,LLT,-5.5,NA,NA,1440,43,-64
Drosophila lacertosa,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,150,35,-65
Drosophila lacertosa,Drosophilidae,Diptera,Adults,LLT,-2.5,NA,NA,1440,43,-64
Drosophila lacteicornis,Drosophilidae,Diptera,Adults,LLT,1.75,NA,NA,1440,24,-64
Drosophila lutescens,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,486,35,-65
Drosophila lutescens,Drosophilidae,Diptera,Adults,LLT,-5.4,NA,NA,NA,38,-50
Drosophila lutescens,Drosophilidae,Diptera,Adults,LLT,0.8,NA,NA,1440,36,-64
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,234,-17,-116
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,0,NA,NA,720,61,-117
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,0,NA,NA,600,34,-117
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,348,35,-65
Drosophila melanogaster,Drosophilidae,Diptera,Pupae,LLT,NA,-8,120,NA,44,-118
Drosophila melanogaster,Drosophilidae,Diptera,Larvae,LLT,NA,-5,120,NA,44,-118
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,NA,-5,120,NA,44,-118
Drosophila melanogaster,Drosophilidae,Diptera,Adults,LLT,0,NA,NA,780,49,-117
Drosophila nigrospiracula,Drosophilidae,Diptera,Adults,LLT,-4.4,NA,NA,1440,43,-64
Drosophila nigrospiracula,Drosophilidae,Diptera,Adults,LLT,-7.73,-10,60,60,32,-119
Drosophila obscura,Drosophilidae,Diptera,Adults,LLT,-11,NA,NA,1440,49,-114
Drosophila orientacea,Drosophilidae,Diptera,Adults,LLT,-4.45,NA,NA,1440,43,-64
Drosophila pulchrella,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,276,35,-65
Drosophila quadrilineata,Drosophilidae,Diptera,Adults,LLT,7.35,NA,NA,1440,24,-64
Drosophila ruberrima,Drosophilidae,Diptera,Adults,LLT,2.55,NA,NA,1440,24,-64
Drosophila rufa,Drosophilidae,Diptera,Adults,LLT,-5.5,NA,NA,NA,40,-50
Drosophila rufa,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,666,35,-65
Drosophila rufa,Drosophilidae,Diptera,Adults,LLT,-0.1,NA,NA,1440,36,-64
Drosophila serrata,Drosophilidae,Diptera,Adults,LLT,-2,-2,240,60,-34,-115
