"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"818","Scatophaga steroraria","Diptera","Scathophagidae ","Scatophaga","steroraria",2.35,NA,402.66,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Blanckenhorn, W.U. and Henseler, C.",2005,"Temperature-dependent ovariole and testis maturation in the yellow dung fly.","Entomologia Experimentalis et Applicata","116","259-165","Switzerland 47¯N","",2.35,149.124417,-35.3075
"819","Bradysia impatiens","Diptera","Sciaridae","Bradysia","impatiens",-0.9,NA,567.9,NA,"","0.8",-4.1,NA,"","","","",0.7,NA,NA,"99.1",427.2,"","","","","",86.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wilkinson J.D., Daugherty D.M.",1970,"Comparative development of Bradysia impatiens (Diptera: Sciaridae) under constant and variable temepratures.","Annals of the Entomological Society of America","63","1079-1083","USA Missouri","",-0.9,-101.0681058,43.3439296
"820","Bradysia impatiens","Diptera","Sciaridae","Bradysia","impatiens",3.3,NA,431.3,NA,"","3",2.4,NA,"","","","",5.6,NA,NA,"80.9",291.5,"","","","","",64,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wilkinson J.D., Daugherty D.M.",1970,"Comparative development of Bradysia impatiens (Diptera: Sciaridae) under constant and variable temepratures.","Annals of the Entomological Society of America","63","1079-1083","USA Missouri","",3.3,-101.0681058,43.3439296
"821","Bradysia sp.","Diptera","Sciaridae","Bradysia","sp.",2.03,NA,472.64,NA,"","3.8",1.2,NA,"","","","",3.1,NA,NA,"74.8",321.8,"","","","","",76.5,NA,NA,"85.5",304.56,NA,NA,NA,NA,"","82.59",NA,"","Lee, H., K. Kim, et al.",1998,"Effect of temperature on the development of Sciarid fly, Bradysia sp. (Diptera: Sciaridae)","Korean Journal of Applied Entomology","37"," 171-178","Korean Republic","",2.03,118.1257661,24.4975048
"822","Sepedon fuscipennis","Diptera","Sciomyzidae","Sepedon","fuscipennis",9.8,NA,308.7,NA,"","8.8",7.5,NA,"","","","",9.2,NA,NA,"53.9",189.7,"","","","","",93.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Barnes, J.K.",1976,"Effect of temperature on development, survival, oviposition, and diapause in laboratory populations of Sepedon fuscipennis (Diptera: Sciomyzidae). ","Environmental Entomology","5(6)","1089-1098","USA NY","",9.8,-74.0059413,40.7127837
"830","Episyrphus balteatus","Diptera","Syrphidae","Episyrphus","balteatus",4.9,NA,334.2,NA,"","6.7",2.4,NA,"","","","",6.1,NA,NA,"30.5",186,"","","","","",123.9,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ankersmit G,W., Dijkman H., Keuning N.J., Sins A., Tacoma H.M.",1986,"Episyrphus balteatus as a predator of the aphid Sitobion avenae on winter wheat.","Entomologia Experimentalis et Applicata","42","271 - 277","Netherlands Wageningen","",4.9,5.6653948,51.9691868
"831","Episyrphus balteatus","Diptera","Syrphidae","Episyrphus","balteatus",6.8,NA,261,374,"","5.4",5.8,NA,"","","","",8.1,NA,NA,"44.4",127.9,"","","","","",96.5,NA,NA,"37",115,NA,NA,NA,NA,"","109",NA,"","Hart, A. J., J. S. Bale, et al.",1997,"Developmental threshold, day-degree requirements and voltinism of the aphid predator Episyrphus balteatus (Diptera: Syrphidae)","Annals of Applied Biology","130"," 427-437","United Kingdom","",6.8,-3.435973,55.378051
"833","Eupeodes corollae","Diptera","Syrphidae","Eupeodes","corollae",3.6,NA,341.08,NA,"","5.6",1.9,NA,"","","","",4.3,NA,NA,"3.9",176.32,"","","","","",137.51,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Benestad, E.",1970,"Laboratory Experiments on the Biology of Syrphus corollae ( Fabr.) (Diptera, Syrphidae). ","Norsk Entomol. Tidskr.","17","77-85","Norway","",3.6,8.468946,60.472024
"834","Eupeodes corollae","Diptera","Syrphidae","Eupeodes","corollae",3.9,NA,327.9,NA,"","3.8",3.2,NA,"","","","",4.3,NA,NA,"44",148,"","","","","",138.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Benestad, E.",1970,"Laboratory Experiments on the Biology of Syrphus corollae ( Fabr.) (Diptera, Syrphidae). ","Norsk Entomol. Tidskr.","17","77-85","Norway","",3.9,8.468946,60.472024
"839","Scaeva pyrastri","Diptera","Syrphidae","Scaeva","pyrastri",5.4,NA,42.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","BÑnsch, R.",1964,"Vergleichende Untersuchungen zur Biologie und zum Beutefangverhalten aphidivorer Coccinelliden, Chrysopiden und Syrphiden. ","Zool. J. Syst.","91","271-340","Germany","",5.4,10.451526,51.165691
