"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"2272","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.3,NA,283,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Harcourt, D. G.",1954,"The biology and ecology of the diamondback moth, Plutella maculipennis (Curtis), in eastern Ontario","Ph.D. thesis, Cornell University, Ithaca, N.Y.","","107","Geneva, New York ","field studies)",7.3,NA,NA
"2273","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.6,NA,277.8,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Choi, I. H., J. K. Yoo, et al.",1992,"Studies on the ecological characteristics and effect of chemical control on diamondback moth, <i>Plutella xylostella </i>L.","Research Reports of the Rural Development Administration, Crop Protection","34","40-47","Korean Republic","",7.6,118.1257661,24.4975048
"2275","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.4,39,268.2,NA,"","7.3",7.4,7.3,"7.2","7.6","7","7.5",7.85,NA,NA,"52.1",140.13,"33.7","36.1","27.9","37.4","12.2",68.75,NA,NA,"51",143.2,NA,NA,NA,NA,"","74",NA,"","Liu, S., F. Chen, et al.",2002,"Development and survival of the diamondback moth (Lepidoptera: Plutellidae) at constant and alternating temperatures","Environmental Entomology","31"," 221-231","China, Hangzhou 30.18¯N  120.07¯E","",7.4,NA,NA
"2276","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.35,NA,263,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Liu, S.S., Chen, F.Z. and Zalucki, M.P.",2002,"Development and survival of the diamondback moth (Lepidoptera: Plutellidae) at constant and alternating temperatures.","Environmental Entomology","31(2)","221-231","China 30¯N","",7.35,NA,NA
"2277","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.4,NA,313,NA,"","7.3",NA,NA,"","","","",8.2,NA,NA,"238",NA,"","","","","",79,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Threshold temperature and thermal constants for development of the diamond-back moth, Plutella xylostella L., with reference to their local differences.","Japanese Journal of Applied Entomology and Zoology","17","19-24","Japan Kagoshiva","",7.4,130.5579779,31.5601464
"2278","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.5,NA,294,NA,"","6.7",NA,NA,"","","","",9.8,NA,NA,"233",NA,"","","","","",61,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Threshold temperature and thermal constants for development of the diamond-back moth, Plutella xylostella L., with reference to their local differences.","Japanese Journal of Applied Entomology and Zoology","17","19-24","Japan Sapporo","",7.5,141.3543763,43.0620958
"2279","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",8.6,NA,250,NA,"","6.4",NA,NA,"","","","",8.9,NA,NA,"217",NA,"","","","","",68,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Threshold temperature and thermal constants for development of the diamond-back moth, Plutella xylostella L., with reference to their local differences.","Japanese Journal of Applied Entomology and Zoology","17","19-24","Java Malang","",8.6,112.6326321,-7.9666204
"2280","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9.5,NA,229,NA,"","9.2",NA,NA,"","","","",8.7,NA,NA,"174",NA,"","","","","",65,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Threshold temperature and thermal constants for development of the diamond-back moth, Plutella xylostella L., with reference to their local differences.","Japanese Journal of Applied Entomology and Zoology","17","19-24","Japan Hizatsuka","",9.5,139.3494762,35.3351103
"2281","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.5,NA,281.3,NA,"","6.9",NA,NA,"","","","",8.5,NA,NA,"219",NA,"","","","","",69.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Indonesia Malang","",7.5,112.6326321,-7.9666204
"2282","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",7.5,NA,286,NA,"","6.8",NA,NA,"","","","",8.4,NA,NA,"215.7",NA,"","","","","",74.9,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Indonesia Malang","",7.5,112.6326321,-7.9666204
"2283","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",8.4,NA,257.1,NA,"","7.4",NA,NA,"","","","",8.9,NA,NA,"206.6",NA,"","","","","",65.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Indonesia Malang","",8.4,112.6326321,-7.9666204
"2284","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",8.5,NA,255.3,NA,"","7.3",NA,NA,"","","","",8.9,NA,NA,"206",NA,"","","","","",70.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Indonesia Malang","",8.5,112.6326321,-7.9666204
"2285","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9,NA,244.7,NA,"","9.4",NA,NA,"","","","",NA,NA,NA,"176",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Japan Kongeva","",9,NA,NA
"2286","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9.3,NA,238.6,NA,"","9.9",NA,NA,"","","","",NA,NA,NA,"159.8",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Japan Kongeva","",9.3,NA,NA
"2287","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9.5,NA,228.6,NA,"","9.7",NA,NA,"","","","",8.9,NA,NA,"169.3",NA,"","","","","",59.1,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Japan Kongeva","",9.5,NA,NA
"2288","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9.7,NA,226.6,NA,"","10",NA,NA,"","","","",8.7,NA,NA,"158.7",NA,"","","","","",68.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Umeya K., Yamada H.",1973,"Sex dimorphism of development in Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","17","107-109","Japan Kongeva","",9.7,NA,NA
"2289","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",8.7,NA,273.2,NA,"","7.7",8.4,NA,"","","","",9.6,NA,NA,"51.9",161.5,"","","","","",62.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yamada H., Kawasaki K.",1983,"The effect of temperature and humidity on the development, fecundity and multiplication of the diamondback moth, Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","27","17-21","Japan","",8.7,138.252924,36.204824
"2290","Plutella xylostella","Lepidoptera","Plutellidae","Plutella","xylostella",9.9,NA,246.5,NA,"","8.8",9.6,NA,"","","","",10.6,NA,NA,"46.4",146.3,"","","","","",56.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yamada H., Kawasaki K.",1983,"The effect of temperature and humidity on the development, fecundity and multiplication of the diamondback moth, Plutella xylostella (L.).","Japanese Journal of Applied Entomology and Zoology","27","17-21","Japan","",9.9,138.252924,36.204824
"2291","Platyptilia carduidactyla","Lepidoptera","Pterophoridae","Platyptilia","carduidactyla",7,25,476.2,NA,"","7.9",7,8.7,"7","6.9","1.5","",7.8,NA,NA,"69.3",267.9,"45.4","56.3","55.4","159.4","",114.9,NA,NA,"79",267.9,59.1,56.3,54.9,97.7,"","129.3",NA,"","Bari, M. A., and W. H. Lange",1980,"Influence of temperature on the development, fecundity and longevity of the artichoke plume moth.","Environmental Entomology","9","673-676","USA, California, Castroville ","field studies)",7,-121.7517702,36.7619511
"2292","Platyptilia carduidactyla","Lepidoptera","Pterophoridae","Platyptilia","carduidactyla",7,25,502.5,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bari, M. A., and W. H. Lange",1980,"Influence of temperature on the development, fecundity and longevity of the artichoke plume moth.","Environmental Entomology","9","673-676","USA, California ","lab studies)",7,-76.5074542,38.3004029
"2301","Amyelois transitella","Lepidoptera","Pyralidae","Amyelois","transitella",12.8,34.4,607,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sanderson, J. P., M. M. Barnes, et al.",1989," Synthesis and validation of a degree-day model for navel orangeworm (Lepidoptera: Pyralidae) development in California almond orchards","Environmental Entomology","18"," 612-617","USA, California, Butte, Kern, and Tulare Counties ","field studies)",12.8,-119.2252268,36.4842305
"2302","Amyelois transitella","Lepidoptera","Pyralidae","Amyelois","transitella",12.8,34.4,410,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sanderson, J. P., M. M. Barnes, et al.",1989," Synthesis and validation of a degree-day model for navel orangeworm (Lepidoptera: Pyralidae) development in California almond orchards","Environmental Entomology","18"," 612-617","USA, California, Butte, Kern, and Tulare Counties ","field studies)",12.8,-119.2252268,36.4842305
"2303","Amyelois transitella","Lepidoptera","Pyralidae","Amyelois","transitella",12.8,34.4,425.5,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Seaman, W. S., and M. M. Barnes",1984,"Thermal summation for the development of the navel orangeworm in almond (Lepidoptera: Pyralidae)","Environmental Entomology","13","81-85","USA, California ","field studies)",12.8,-76.5074542,38.3004029
"2304","Amyelois transitella","Lepidoptera","Pyralidae","Amyelois","transitella",12.8,34.4,623,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Seaman, W. S., and M. M. Barnes",1984,"Thermal summation for the development of the navel orangeworm in almond (Lepidoptera: Pyralidae)","Environmental Entomology","13","81-85","USA, California, Kern County ","field studies)",12.8,-118.8596804,35.4937274
"2306","Cadra calidella","Lepidoptera","Pyralidae","Cadra","calidella",19.2,NA,716.2,NA,"","18.9",19.5,NA,"","","","",15.4,NA,NA,"35.25",590.5,"","","","","",104,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Omar M.T.A., Kamel A.H., El-Kifl A.H., Wahab A.E.A.",1973,"Ecological and biological studies on Cadra calidella (Guen.). a pest attaching dry dates in Egypt (Lepidoptera: Phycitidae).","Bull.Soc.Entomol.Egypte","57","361-370","Egypt","",19.2,NA,NA
"2307","Cadra calidella","Lepidoptera","Pyralidae","Cadra","calidella",21.4,NA,462.5,NA,"","22.1",21.5,NA,"","","","",19.3,NA,NA,"17.6",391.6,"","","","","",60.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Omar M.T.A., Kamel A.H., El-Kifl A.H., Wahab A.E.A.",1973,"Ecological and biological studies on Cadra calidella (Guen.). a pest attaching dry dates in Egypt (Lepidoptera: Phycitidae).","Bull.Soc.Entomol.Egypte","57","361-370","Egypt","",21.4,NA,NA
"2309","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",12.8,NA,495.6,NA,"","10.5",13.6,NA,"","","","",14.1,NA,NA,"67.8",317,"","","","","",91.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Burges, H.D. and Haskins, K.P.F.",1964,"Life cycle of the tropical warehouse moth, Cadra cautella (Wlk.), at controlled temperatures and humidities.","Bulletin of Entomological Research","55","775-789","Nigerie","",12.8,8.675277,9.081999
"2310","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",11.52,NA,1388.2,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",11.52,8.675277,9.081999
"2311","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",11.9,NA,1414.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",11.9,8.675277,9.081999
"2312","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",13.05,NA,1073.26,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",13.05,8.675277,9.081999
"2313","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",13.17,NA,925.01,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",13.17,8.675277,9.081999
"2314","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",14.07,NA,775,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",14.07,8.675277,9.081999
"2315","Cadra cautella","Lepidoptera","Pyralidae","Cadra","cautella",14.1,NA,729.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Nawrot, J.",1979,"Effect of temperature and relative humidity on population parameters for almond moth (Cadra cautella Wlk) (Lepid: Phycitidae). ","Pr†ce Naukowe Institutu Ochrany Rostlin","21","41-51","Ghana 7¯N","",14.1,8.675277,9.081999
"2316","Cnaphalocrocis medinalis","Lepidoptera","Pyralidae","Cnaphalocrocis","medinalis",13.2,NA,327,NA,"","12.5",12.2,NA,"","","","",14.6,NA,NA,"56.6",203.8,"","","","","",76.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wada T., Kobayashi M.",1980,"Effect of temperature on development of the rice leaf roller, Cnaphalocrocis medinalis Guenee (Lepidoptera: Pyralidae).","Applied Entomology and Zoology","15","207-214","Japan Kyushu","",13.2,NA,NA
"2317","Corcyra cephalonica","Lepidoptera","Pyralidae","Corcyra","cephalonica",13.5,NA,583.3,NA,"","13.6",14.4,NA,"","","","",NA,NA,NA,"67.2",443.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Cox, P.D., Crawford, L.A., Gjestrud, G., Bell, C.H. and Bowley, C.R.",1981,"The influence of temperature and humidity on the life-cycle of Corcyra cephalonica (Stainton). (Lepidoptera: Pyralidae). ","Bulletin of Entomological Research","71","171-181","Burma, Malawi","",13.5,NA,NA
"2319","Crambus trisectus","Lepidoptera","Pyralidae","Crambus","trisectus",13.2,NA,629.8,NA,"","10.2",14,NA,"","","","",12.9,NA,NA,"108.7",380.9,"","","","","",141.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Banerjee, A.C.",1969,"Development of Crambus trisectus at controlled constant temperatures in the laboratory.","Journal of Economic Entomology","62(3)","703-705","USA, eastern ","probably Illinois)",13.2,-102.1716944,31.9528561
"2320","Diaphania indica","Lepidoptera","Pyralidae","Diaphania","indica",13.53,NA,294.1,NA,"","13.7",12,NA,"","","","",14.9,NA,NA,"48.1",172.4,"","","","","",82.6,NA,NA,"49.1",149,NA,NA,NA,NA,"","96",NA,"","Kinjo, K. and N. Arakaki",2002,"Effect of temperature on development and reproductive characteristics of Diaphania indica (Saunders) (Lepidoptera: Pyralidae)","Applied Entomology and Zoology","37","141-145","Japan, Okinawa, Tomishiro","",13.53,127.6809317,26.2124013
"2321","Diaphania nitidalis","Lepidoptera","Pyralidae","Diaphania","nitidalis",11.5,NA,380.1,NA,"","11.8",10.6,NA,"","","","",12,NA,NA,"45.1",211,"","","","","",126.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Elsey, K.D.",1980,"Pickleworm: Effect of temperature on development, fecundity, and survival","Environmental Entomology","900","101-103","USA S Carolina","",11.5,-81.1637245,33.836081
"2322","Diatraea grandiosella","Lepidoptera","Pyralidae","Diatraea","grandiosella",9.8,NA,737.7,NA,"","8.1",10.6,NA,"","","","",3.3,NA,NA,"122.3",495.3,"","","","","",148.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Whitworth, R.J. and Poston, F.L.",1979,"A thermal unit accumulation system for the Southwestern Corn Borer","Annals of the Entomological Society of America","72","253-255","USA Kansas","",9.8,NA,NA
"2323","Diatraea lineolata","Lepidoptera","Pyralidae","Diatraea","lineolata",9.8,NA,802.2,NA,"","",8.7,NA,"","","","",10.7,NA,NA,"",559.8,"","","","","",172.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Rodriguez-del-Bosque L.A., Smith J.W., Browning H.W.",1989,"Development and life-fertility tables for Diatraea lineolata (Lepidoptera: Pyralidae) at constant temperatures. ","Annals of the Entomological Society of America","82","450-459 ","USA Texas","",9.8,NA,NA
"2324","Diatraea lineolata","Lepidoptera","Pyralidae","Diatraea","lineolata",10.7,NA,742.4,NA,"","12.5",10,NA,"","","","",11.8,NA,NA,"76.9",505.8,"","","","","",159,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Rodriguez-del-Bosque L.A., Smith J.W., Browning H.W.",1989,"Development and life-fertility tables for Diatraea lineolata (Lepidoptera: Pyralidae) at constant temperatures. ","Annals of the Entomological Society of America","82","450-459 ","USA Texas","",10.7,NA,NA
"2325","Diatraea lineolata","Lepidoptera","Pyralidae","Diatraea","lineolata",11.3,NA,701.9,NA,"","",10.8,NA,"","","","",12.4,NA,NA,"",472.2,"","","","","",151.3,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Rodriguez-del-Bosque L.A., Smith J.W., Browning H.W.",1989,"Development and life-fertility tables for Diatraea lineolata (Lepidoptera: Pyralidae) at constant temperatures. ","Annals of the Entomological Society of America","82","450-459 ","USA Texas","",11.3,NA,NA
"2326","Diatraea lineolata","Lepidoptera","Pyralidae","Diatraea","lineolata",8.5,NA,868,NA,"","12.5",7.9,10.5,"7.2","6.9","6.9","6.2",10.4,NA,NA,"80.73",581.81,"77.85","62.41","67.33","79.47","380.42",177.12,NA,NA,"105.8",562.9,88.4,58.7,61.8,72.1,"290.8","199.2",NA,"","Rodriguez-del-Bosque L.A., Smith J.W., Browning H.W.",1989,"Development and life-fertility tables for Diatraea lineolata (Lepidoptera: Pyralidae) at constant temperatures. ","Annals of the Entomological Society of America","82","450-459 ","Mexico, Tamaulipas ","experiment in USA, Texas)",8.5,-98.8362755,24.26694
"2327","Diatraea saccharalis","Lepidoptera","Pyralidae","Diatraea","saccharalis",13.5,NA,475.9,NA,"","9.8",12.4,NA,"","","","",15.5,NA,NA,"99.1",322.5,"","","","","",85.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","King, E.G., Brewer, F.D. and Martin, D.F.",1975,"Development of Diatraea saccharalis [Lep.: Pyralidae] at constant temperatures.","Entomophaga","2(3)","301-306","USA Missouri","",13.5,-101.0681058,43.3439296
"2328","Diatraea saccharalis","Lepidoptera","Pyralidae","Diatraea","saccharalis",14.1,NA,431.4,NA,"","9.8",13.3,NA,"","","","",15.8,NA,NA,"99.1",278.4,"","","","","",83.1,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","King, E.G., Brewer, F.D. and Martin, D.F.",1975,"Development of Diatraea saccharalis [Lep.: Pyralidae] at constant temperatures.","Entomophaga","2(3)","301-306","USA Missouri","",14.1,-101.0681058,43.3439296
"2331","Ectomyelois ceratoniae","Lepidoptera","Pyralidae","Ectomyelois","ceratoniae",10.6,NA,441.6,NA,"","12.5",10.1,NA,"","","","",13.5,NA,NA,"52.5",330.6,"","","","","",100,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Cox P.D.",1976,"The influence of temperature and humidity on the life-cycle of Ectomyelois ceratoniae (Zeller) (Lepidoptera: Phycitidae).","Journal of Stored Products Research","12","111-117","Israel","",10.6,NA,NA
"2332","Eldana saccharina","Lepidoptera","Pyralidae","Eldana","saccharina",7.94,NA,1054.48,NA,"","9.1",5.5,NA,"","","","",10.8,NA,NA,"125",846,"","","","","",140,NA,NA,"144.8",742.35,NA,NA,NA,NA,"","167.33",NA,"","Shanower, T. G., F. Schulthess, et al.",1993,"Development and fecundity of Sesamia calamistis (Lepidoptera: Noctuidae) and Eldana saccharina (Lepidoptera: Pyralidae)","Bulletin of Entomological Research","83"," 237-243","Benin, Cotonou","",7.94,2.3912362,6.3702928
"2335","Ephestia calidella","Lepidoptera","Pyralidae","Ephestia","calidella",9.8,NA,582.8,NA,"","10.8",11,NA,"","","","",11.6,NA,NA,"77.3",318.8,"","","","","",139.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Cox P.D.",1974,"The influence of temperature and humidity on the life-cycles of Ephestia figuliella Gregson and Ephestia calidella (GuenÇe) (Lepidoptera: Phycitidae).","Journal of Stored Products Research","10","43-54","Cyprus","",9.8,33.429859,35.126413
"2336","Ephestia cautella","Lepidoptera","Pyralidae","Ephestia","cautella",12.2,NA,461.7,NA,"","11.3",NA,NA,"","","","",14.8,NA,NA,"64.3",NA,"","","","","",90.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",12.2,-1.1743197,52.3555177
"2337","Ephestia cautella","Lepidoptera","Pyralidae","Ephestia","cautella",12.4,NA,478.8,NA,"","11.8",NA,NA,"","","","",14.7,NA,NA,"62.6",NA,"","","","","",95.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",12.4,-1.1743197,52.3555177
"2340","Ephestia elutella","Lepidoptera","Pyralidae","Ephestia","elutella",11.3,NA,616,NA,"","10.5",NA,NA,"","","","",10.8,NA,NA,"91.1",NA,"","","","","",188.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",11.3,-1.1743197,52.3555177
"2341","Ephestia elutella","Lepidoptera","Pyralidae","Ephestia","elutella",13.1,NA,555.3,NA,"","10.3",NA,NA,"","","","",10.8,NA,NA,"96.3",NA,"","","","","",195.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",13.1,-1.1743197,52.3555177
"2343","Ephestia figuliella","Lepidoptera","Pyralidae","Ephestia","figuliella",10.4,NA,855,NA,"","11.1",10,NA,"","","","",12.5,NA,NA,"72.3",713.9,"","","","","",129.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Cox P.D.",1974,"The influence of temperature and humidity on the life-cycles of Ephestia figuliella Gregson and Ephestia calidella (GuenÇe) (Lepidoptera: Phycitidae).","Journal of Stored Products Research","10","43-54","Cyprus","",10.4,33.429859,35.126413
"2346","Ephestia kuehniella","Lepidoptera","Pyralidae","Ephestia","kuehniella",10.5,NA,624.6,NA,"","10.4",NA,NA,"","","","",11,NA,NA,"75.7",NA,"","","","","",168.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",10.5,-1.1743197,52.3555177
"2347","Ephestia kuehniella","Lepidoptera","Pyralidae","Ephestia","kuehniella",10.9,NA,607.8,NA,"","10.2",NA,NA,"","","","",11.1,NA,NA,"78",NA,"","","","","",165.7,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bell C.H.",1975,"Effects of temperature and humidity on development of  four pyralid moth pests of stored products.","Journal of Stored Products Research","11","167-175","England","",10.9,-1.1743197,52.3555177
"2348","Ephestia kuehniella","Lepidoptera","Pyralidae","Ephestia","kuehniella",7.3,NA,1479.7,NA,"","9.5",6.3,NA,"","","","",10.5,NA,NA,"76",1257.4,"","","","","",159.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jacob T.A., Cox P.D.",1977,"The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).","Journal of Stored Products Research","13","107-118","England ","stored)",7.3,NA,NA
"2349","Ephestia kuehniella","Lepidoptera","Pyralidae","Ephestia","kuehniella",9.4,NA,1333.7,NA,"","10.1",9.3,NA,"","","","",10.7,NA,NA,"72",1064,"","","","","",160.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jacob T.A., Cox P.D.",1977,"The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).","Journal of Stored Products Research","13","107-118","England ","stored)",9.4,NA,NA
"2350","Euzopherodes vapidella","Lepidoptera","Pyralidae","Euzopherodes","vapidella",9.21,NA,522.02,NA,"","16.51",5.07,NA,"","","","",5.73,NA,NA,"42.17",364.95,"","","","","",175.99,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ashamo, M.O. and Odeyemi, O.O.",2001,"Effect of rearing temperature on the fecundity and development of Euzopherodes vapidella Mann (Lepidoptera: Pyralidae), a pest of stored yam. ","Journal of Stored Products Research","37","253-261","Nigeria 7¯N","",9.21,33.429859,35.126413
